time (s),pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,pt9
0.000014,17.56995293,64.91308054,104.2037169,52.73093135,49.61512351,40.56119571,60.07774203,85.80269486,70.78879097
1.43E-05,18.59146182,61.45666976,106.5416208,46.63279643,63.01690975,74.73692602,52.89713542,64.4972853,81.04970692
0.0000145,18.18285826,59.85491842,103.3687512,40.3553046,87.53932711,112.1503571,52.57799734,70.7920654,91.08004049
1.48E-05,16.34414226,62.80551299,98.69294339,36.4094526,82.02653561,147.0455765,59.99795752,65.94992686,93.15528192
0.000015,14.50542626,61.37236706,98.02497084,36.94752333,72.04648203,164.5831223,71.56671262,68.27415336,86.1225193
1.53E-05,13.89252092,61.62527516,103.8697306,43.22501515,84.11759446,131.9363062,81.14085478,83.96268222,80.24266859
0.0000155,13.89252092,64.82877784,115.0582707,58.29099554,95.99861062,81.57207208,84.3322355,106.9144189,74.70869144
1.58E-05,14.70972803,68.36949132,128.0837353,75.50925883,105.0281829,34.53547484,84.01309743,119.6008218,64.56306668
0.000016,15.52693515,74.69219397,139.6062617,85.91195958,119.0002579,8.27412418,81.53977737,109.5291737,58.33734239
1.63E-05,16.13984048,74.94510208,144.1150764,85.37388885,102.0816909,17.62748195,76.99205984,110.0133875,63.52544596
0.0000165,14.91402981,81.85792364,142.1111588,74.97118811,88.87000092,57.4691886,73.32197202,104.7838779,78.51330073
1.68E-05,13.68821914,96.02077758,137.6023441,65.285915,88.29971215,100.0989154,73.40175654,110.8849725,101.4562476
0.000017,12.66671025,108.5818802,133.0935294,64.03041664,86.87399021,137.7821548,78.02925858,100.9101671,115.1758993
1.73E-05,12.46240847,121.0586801,128.5847147,74.61247429,102.6519797,172.0478213,84.97051164,81.92898403,99.38100621
0.0000175,15.52693515,125.1052098,126.5807971,98.64630014,102.0816909,169.169865,89.03952206,100.3291105,79.20504787
1.78E-05,20.22587605,116.4220315,130.9226186,122.3214122,98.8500545,111.9704848,90.95435049,128.3166712,56.72326573
0.000018,24.92481695,108.4132748,136.4333921,131.6479715,105.5984717,70.2401194,93.10853248,133.4493381,36.4320162
1.83E-05,27.37643828,105.8841937,137.4353509,123.5769105,92.10163732,42.98947128,94.38508476,131.6093254,35.04852191
0.0000185,27.78504184,109.5092099,130.9226186,106.7173611,98.56491012,39.21215372,93.74680862,113.209199,55.8009362
1.88E-05,25.12911872,117.8551774,122.0719824,93.80366359,114.7230921,61.60625069,91.35327308,85.0279527,87.27543121
